epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
151,8154.08,0.46499,0.39058,0.89085,0.96998,0.99344,0.99375,0.9255,0.42625,0.27516,0.85808,0.000448928,0.000448928,0.000448928
152,8207.5,0.46194,0.3356,0.87963,0.97242,0.99695,0.99369,0.911,0.42369,0.25165,0.85094,0.00044716,0.00044716,0.00044716
153,8261.06,0.45512,0.33467,0.87086,0.97254,0.99634,0.99363,0.89899,0.46485,0.26377,0.8636,0.000445393,0.000445393,0.000445393
154,8314.16,0.45914,0.32707,0.87834,0.97022,0.9943,0.99398,0.91617,0.43677,0.25007,0.85677,0.000443626,0.000443626,0.000443626
155,8367.4,0.46965,0.36198,0.88146,0.96325,0.98929,0.9934,0.91459,0.44403,0.26442,0.8615,0.000441859,0.000441859,0.000441859
156,8421.22,0.46715,0.33196,0.88304,0.97588,0.98276,0.99238,0.9019,0.46619,0.25697,0.86532,0.000440092,0.000440092,0.000440092
157,8474.47,0.47949,0.35803,0.89275,0.97132,0.98353,0.99347,0.93082,0.41596,0.25755,0.84728,0.000438325,0.000438325,0.000438325
158,8527.96,0.47527,0.33917,0.88218,0.97115,0.99688,0.99359,0.91228,0.43335,0.24548,0.85492,0.000436557,0.000436557,0.000436557
159,8581.26,0.472,0.35614,0.8864,0.97746,0.97866,0.99227,0.9068,0.42083,0.26922,0.85002,0.00043479,0.00043479,0.00043479
160,8634.37,0.45893,0.3404,0.89931,0.98843,0.97766,0.99397,0.9277,0.41193,0.24299,0.85435,0.000433023,0.000433023,0.000433023
161,8686.95,0.48216,0.35472,0.89329,0.96897,0.99254,0.99391,0.92691,0.41674,0.25985,0.84933,0.000431256,0.000431256,0.000431256
162,8739.64,0.47998,0.35358,0.88157,0.97069,0.99448,0.99392,0.91276,0.45187,0.24773,0.86079,0.000429489,0.000429489,0.000429489
163,8792.41,0.47596,0.3435,0.88655,0.97752,0.98171,0.99397,0.93349,0.37581,0.23168,0.8365,0.000427722,0.000427722,0.000427722
164,8846.66,0.50041,0.3524,0.90209,0.97241,0.99695,0.994,0.89276,0.51162,0.25488,0.87959,0.000425955,0.000425955,0.000425955
